Date	StaffID	HoursWorked
13/11/2020	1001	37
13/11/2020	1002	37
13/11/2020	1003	39
13/11/2020	1004	37
20/11/2020	1001	40
20/11/2020	1002	37
20/11/2020	1003	37
20/11/2020	1004	37
27/11/2020	1001	37
27/11/2020	1002	37
27/11/2020	1003	37
27/11/2020	1004	42
04/12/2020	1001	50
04/12/2020	1002	37
04/12/2020	1003	37
04/12/2020	1004	37
11/12/2020	1001	37
11/12/2020	1002	37
11/12/2020	1003	37
11/12/2020	1004	37
18/12/2020	1001	37
18/12/2020	1002	37
18/12/2020	1003	37
18/12/2020	1004	37

